1751,2254,1976,2645,2047,2620,0
1745,2244,1981,2646,2047,2620,0
1747,2236,1990,2663,2047,2620,0
1747,2229,1989,2669,2047,2620,0
1751,2220,1996,2676,2047,2620,0
1746,2206,1996,2642,2047,2620,0
1739,2199,1996,2618,2047,2620,0
1739,2194,1994,2602,2047,2620,0
1733,2188,1991,2580,2047,2620,0
1728,2181,1991,2583,2047,2620,0
1727,2178,1988,2599,2047,2620,0
1721,2168,1990,2598,2047,2620,0
1716,2164,1992,2587,2047,2620,0
1705,2153,1997,2572,2047,2620,0
1696,2147,2002,2582,2047,2620,0
1692,2142,2000,2604,2047,2620,0
1692,2138,2001,2630,2047,2620,0
1701,2132,2001,2649,2047,2620,0
1701,2127,2002,2655,2047,2620,0
1705,2117,2000,2655,2047,2620,0
1709,2115,1998,2641,2047,2620,0
1687,2075,1878,2514,2049,2633,0
1675,1963,1774,2452,2050,2620,0
1649,1922,1687,2376,2049,2624,0
1617,1856,1604,2268,2050,2617,0
1589,1776,1522,2197,2050,2628,0
1551,1745,1445,2100,2050,2625,0
1527,1694,1376,2014,2047,2625,0
1489,1660,1327,1930,2047,2623,0
1451,1613,1267,1871,2057,2621,0
1393,1493,1194,1745,2049,2627,0
1375,1458,1156,1695,2047,2628,0
1350,1428,1126,1653,2053,2627,0
1328,1371,1099,1615,2049,2633,0
1312,1339,1070,1580,2046,2617,0
1296,1313,1056,1547,2049,2618,0
1278,1282,1033,1518,2050,2638,0
1258,1253,1014,1487,2047,2620,0
1231,1189,979,1446,2049,2624,0
1217,1177,968,1425,2048,2623,0
1208,1164,954,1404,2047,2625,0
1196,1141,942,1383,2049,2625,0
1179,1117,932,1370,2047,2625,0
1171,1094,920,1360,2049,2625,0
1159,1069,911,1342,2050,2634,0
1151,1050,904,1323,2048,2623,0
1145,1022,887,1306,2047,2627,0
1140,1007,879,1293,2051,2622,0
1130,987,871,1286,2049,2625,0
1117,975,865,1274,2050,2625,0
1107,963,863,1262,2045,2623,0
1104,952,855,1256,2049,2621,0
1098,940,855,1251,2049,2617,0
1100,935,845,1244,2047,2621,0
1080,919,831,1230,2048,2625,0
1081,913,829,1223,2047,2623,0
1072,907,825,1215,2049,2623,0
1067,903,821,1207,2050,2624,0
1057,893,818,1205,2045,2620,0
1056,887,809,1197,2053,2605,0
1056,881,805,1188,2049,2623,0
1050,878,804,1182,2045,2620,0
1041,863,795,1175,2042,2618,0
1036,859,788,1171,2038,2609,0
1029,857,784,1173,2040,2610,0
1033,855,788,1166,2042,2614,0
1028,852,784,1165,2042,2608,0
1033,853,782,1161,2044,2599,0
1025,845,782,1156,2043,2609,0
1741,1042,1004,1999,2057,2637,0
1677,1075,997,1956,2055,2633,0
1633,1093,983,1898,2056,2629,0
1586,1098,983,1850,2049,2633,0
1575,1095,991,1907,2047,2626,0
1572,1084,1011,1944,2049,2625,0
1601,1095,1075,1962,2048,2618,0
1637,1091,1117,1982,2049,2626,0
1674,1109,1123,1978,2049,2625,0
1684,1139,1146,1998,2050,2626,0
1691,1213,1170,2099,2052,2620,0
1697,1278,1194,2200,2049,2637,0
1686,1328,1220,2230,2060,2619,0
1698,1362,1244,2238,2045,2621,0
1688,1388,1261,2247,2047,2633,0
1683,1415,1278,2238,2044,2624,0
1657,1492,1288,2262,2050,2626,0
1648,1526,1292,2262,2049,2620,0
1632,1564,1292,2248,2050,2625,0
1619,1588,1293,2225,2050,2625,0
1595,1616,1300,2203,2051,2628,0
1581,1632,1303,2185,2051,2626,0
1579,1646,1311,2185,2049,2619,0
1559,1653,1321,2201,2048,2629,0
1539,1667,1334,2183,2049,2626,0
1535,1670,1344,2171,2046,2623,0
1525,1672,1350,2148,2047,2623,0
1515,1669,1356,2126,2051,2626,0
1510,1667,1359,2107,2053,2629,0
1494,1668,1368,2095,2051,2626,0
1489,1663,1372,2084,2050,2625,0
1484,1664,1378,2070,2053,2625,0
1467,1650,1387,2070,2053,2625,0
1459,1645,1393,2050,2049,2638,0
1443,1642,1393,2051,2052,2617,0
1445,1633,1399,2040,2053,2628,0
1440,1634,1400,2047,2050,2625,0
1433,1625,1407,2039,2051,2628,0
1428,1626,1412,2037,2050,2623,0
1419,1618,1415,2033,2049,2625,0
1419,1607,1419,2039,2050,2623,0
1410,1606,1422,2047,2049,2626,0
1407,1599,1424,2052,2050,2626,0
1403,1599,1425,2043,2050,2628,0
1400,1590,1428,2026,2050,2626,0
1389,1586,1423,2009,2049,2637,0
1387,1590,1428,2002,2050,2621,0
1373,1575,1428,1994,2053,2625,0
1368,1570,1429,1989,2053,2630,0
1361,1570,1429,1988,2052,2628,0
1354,1559,1425,1991,2052,2628,0
1351,1554,1431,2002,2047,2625,0
1356,1552,1432,2009,2046,2626,0
1348,1553,1436,2007,2051,2625,0
1347,1542,1436,2003,2051,2624,0
1353,1537,1438,1983,2047,2623,0
1337,1527,1432,1963,2047,2623,0
1327,1524,1437,1969,2050,2626,0
1324,1521,1426,1964,2049,2628,0
1324,1518,1431,1956,2045,2625,0
1313,1510,1431,1953,2049,2626,0
1305,1511,1431,1937,2046,2628,0
1302,1507,1426,1932,2046,2617,0
1300,1497,1398,1907,2053,2626,0
1291,1477,1360,1828,2053,2626,0
1258,1474,1249,1697,2054,2627,0
1244,1448,1211,1670,2053,2625,0
1224,1414,1179,1619,2053,2624,0
1211,1369,1143,1587,2055,2625,0
1189,1312,1104,1552,2052,2625,0
1174,1252,1072,1516,2051,2625,0
1164,1199,1043,1480,2050,2615,0
1139,1130,1002,1456,2051,2621,0
1136,1109,991,1440,2048,2625,0
1137,1079,987,1416,2050,2627,0
1119,1062,980,1401,2049,2634,0
1119,1040,962,1379,2056,2636,0
1099,1021,950,1358,2054,2646,0
1095,999,935,1338,2055,2632,0
1080,979,918,1318,2055,2633,0
1066,943,891,1283,2053,2633,0
1057,924,879,1270,2056,2637,0
1047,915,868,1255,2051,2635,0
1044,909,857,1240,2054,2635,0
1024,893,848,1234,2053,2636,0
1026,893,846,1223,2053,2635,0
1019,881,833,1198,2054,2636,0
1014,871,825,1205,2054,2636,0
1011,860,814,1188,2055,2627,0
991,849,810,1181,2052,2632,0
994,842,804,1173,2056,2637,0
998,836,800,1169,2054,2638,0
986,829,795,1162,2054,2638,0
857,698,670,999,2062,2642,0
857,698,670,999,2062,2642,0
845,701,662,1001,2060,2644,0
849,700,666,999,2061,2641,0
849,700,665,1001,2061,2641,0
842,701,664,1005,2061,2641,0
845,700,663,999,2057,2637,0
839,700,664,998,2059,2641,0
842,697,661,997,2061,2640,0
847,695,661,997,2061,2640,0
839,701,665,996,2059,2642,0
835,699,661,996,2055,2630,0
845,697,660,994,2053,2647,0
837,698,661,987,2052,2629,0
839,699,662,999,2052,2636,0
845,696,662,999,2055,2636,0
876,714,688,1052,2055,2636,0
968,727,689,1102,2059,2641,0
1082,730,687,1173,2057,2633,0
1114,745,692,1263,2059,2641,0
1147,758,707,1316,2060,2635,0
1183,764,714,1315,2060,2635,0
1363,771,721,1320,2059,2641,0
1639,773,721,1463,2057,2637,0
1734,770,725,1718,2057,2651,0
1745,842,879,1780,2057,2651,0
1746,870,887,1745,2057,2650,0
1720,891,884,1730,2054,2633,0
1721,901,881,1701,2047,2622,0
1695,906,874,1647,2047,2617,0
1759,922,868,1645,2046,2620,0
1886,925,861,1693,2049,2626,0
1979,918,858,1956,2051,2638,0
2059,912,874,2438,2051,2618,0
2090,965,890,2667,2051,2618,0
2101,1249,902,2777,2051,2618,0
2103,1636,931,2758,2051,2618,0
2091,1929,957,2745,2051,2618,0
2075,2117,977,2716,2051,2618,0
2061,2228,991,2682,2051,2618,0
2049,2311,1003,2682,2051,2618,0
2031,2434,1033,2753,2051,2618,0
2002,2477,1068,2743,2051,2618,0
1986,2510,1113,2749,2051,2618,0
1982,2532,1170,2784,2051,2618,0
1974,2545,1230,2887,2047,2626,0
1969,2556,1295,2933,2046,2626,0
1958,2557,1356,2921,2047,2622,0
1922,2551,1458,2801,2047,2622,0
1911,2541,1492,2732,2047,2622,0
1903,2538,1525,2686,2047,2622,0
1883,2532,1561,2663,2047,2622,0
1887,2524,1596,2685,2047,2622,0
1877,2509,1629,2740,2047,2622,0
1882,2497,1661,2790,2047,2622,0
1873,2485,1678,2799,2047,2622,0
1870,2460,1732,2795,2047,2622,0
1856,2451,1751,2815,2047,2622,0
1866,2436,1779,2817,2047,2620,0
1859,2432,1797,2794,2047,2620,0
1849,2419,1813,2775,2047,2620,0
1845,2413,1831,2754,2047,2620,0
1839,2404,1843,2727,2047,2620,0
1831,2387,1852,2710,2047,2620,0
1829,2384,1860,2689,2047,2620,0
1797,2367,1881,2643,2047,2620,0
1792,2354,1899,2636,2047,2620,0
1779,2343,1909,2622,2047,2620,0
1781,2333,1922,2624,2047,2620,0
1779,2325,1935,2630,2047,2620,0
1774,2316,1937,2620,2047,2620,0
1777,2303,1940,2602,2047,2620,0
1771,2290,1948,2566,2047,2620,0
1755,2278,1957,2567,2047,2620,0
1755,2268,1961,2604,2047,2620,0
1755,2256,1967,2633,2047,2620,0
1751,2254,1976,2645,2047,2620,0
1745,2244,1981,2646,2047,2620,0
1747,2236,1990,2663,2047,2620,0
1747,2229,1989,2669,2047,2620,0
1751,2220,1996,2676,2047,2620,0
1746,2206,1996,2642,2047,2620,0
1739,2199,1996,2618,2047,2620,0
1739,2194,1994,2602,2047,2620,0
1733,2188,1991,2580,2047,2620,0
1728,2181,1991,2583,2047,2620,0
1727,2178,1988,2599,2047,2620,0
1721,2168,1990,2598,2047,2620,0
1716,2164,1992,2587,2047,2620,0
1705,2153,1997,2572,2047,2620,0
1696,2147,2002,2582,2047,2620,0
1692,2142,2000,2604,2047,2620,0
1692,2138,2001,2630,2047,2620,0
1701,2132,2001,2649,2047,2620,0
1701,2127,2002,2655,2047,2620,0
1705,2117,2000,2655,2047,2620,0
1709,2115,1998,2641,2047,2620,0
1687,2075,1878,2514,2049,2633,0
1675,1963,1774,2452,2050,2620,0
1649,1922,1687,2376,2049,2624,0
1617,1856,1604,2268,2050,2617,0
1589,1776,1522,2197,2050,2628,0
1551,1745,1445,2100,2050,2625,0
1527,1694,1376,2014,2047,2625,0
1489,1660,1327,1930,2047,2623,0
1451,1613,1267,1871,2057,2621,0
1393,1493,1194,1745,2049,2627,0
1375,1458,1156,1695,2047,2628,0
1350,1428,1126,1653,2053,2627,0
1328,1371,1099,1615,2049,2633,0
1312,1339,1070,1580,2046,2617,0
1296,1313,1056,1547,2049,2618,0
1278,1282,1033,1518,2050,2638,0
1258,1253,1014,1487,2047,2620,0
1231,1189,979,1446,2049,2624,0
1217,1177,968,1425,2048,2623,0
1208,1164,954,1404,2047,2625,0
1196,1141,942,1383,2049,2625,0
1179,1117,932,1370,2047,2625,0
1171,1094,920,1360,2049,2625,0
1159,1069,911,1342,2050,2634,0
1151,1050,904,1323,2048,2623,0
1145,1022,887,1306,2047,2627,0
1140,1007,879,1293,2051,2622,0
1130,987,871,1286,2049,2625,0
1117,975,865,1274,2050,2625,0
1107,963,863,1262,2045,2623,0
1104,952,855,1256,2049,2621,0
1098,940,855,1251,2049,2617,0
1100,935,845,1244,2047,2621,0
1080,919,831,1230,2048,2625,0
1081,913,829,1223,2047,2623,0
1072,907,825,1215,2049,2623,0
1067,903,821,1207,2050,2624,0
1057,893,818,1205,2045,2620,0
1056,887,809,1197,2053,2605,0
1056,881,805,1188,2049,2623,0
1050,878,804,1182,2045,2620,0
1041,863,795,1175,2042,2618,0
1036,859,788,1171,2038,2609,0
1029,857,784,1173,2040,2610,0
1033,855,788,1166,2042,2614,0
1028,852,784,1165,2042,2608,0
1033,853,782,1161,2044,2599,0
1025,845,782,1156,2043,2609,0
